"concept_id_1","concept_name.x","total_patient_count","total_event_count","n","concepts","concepts2","percentile_rank","concept_code"
37208308,"Benign neoplasm of skin of left eyelid",110752,179174,3,"51.8%~Other benign neoplasm of skin of left lower eyelid, including canthus (D23.122)1595530;57946 patients | 
48.2%~Other benign neoplasm of skin of left upper eyelid, including canthus (D23.121)1595529;52806 patients | 
NA","Other benign neoplasm of skin of left lower eyelid, including canthus | 
Other benign neoplasm of skin of left upper eyelid, including canthus | 
Other benign neoplasm of skin of left eyelid, including canthus",0.731138545953361,"1079351000119107"
37207869,"Senile entropion of right lower eyelid",51659,144666,1,"100%~Senile entropion of right lower eyelid (H02.032)45591218;51659 patients","Senile entropion of right lower eyelid",0.691358024691358,"334291000119109"
37207929,"Senile entropion of left lower eyelid",44364,120936,1,"100%~Senile entropion of left lower eyelid (H02.035)45562122;44364 patients","Senile entropion of left lower eyelid",0.666666666666667,"339891000119109"
36713314,"Phthisis bulbi of left eye",28592,109131,1,"100%~Atrophy of globe, left eye (H44.522)45538295;28592 patients","Atrophy of globe, left eye",0.654320987654321,"677391000119100"
37207959,"Edema of right upper eyelid",78288,108777,1,"100%~Edema of right upper eyelid (H02.841)45562134;78288 patients","Edema of right upper eyelid",0.651577503429355,"342461000119105"
37207927,"Cicatricial ectropion of left lower eyelid",38771,107729,1,"100%~Cicatricial ectropion of left lower eyelid (H02.115)45538164;38771 patients","Cicatricial ectropion of left lower eyelid",0.650205761316872,"339851000119104"
36717025,"Phthisis bulbi of right eye",27954,104217,1,"100%~Atrophy of globe, right eye (H44.521)45543057;27954 patients","Atrophy of globe, right eye",0.644718792866941,"677401000119103"
37207960,"Edema of left upper eyelid",74847,103816,1,"100%~Edema of left upper eyelid (H02.844)45557288;74847 patients","Edema of left upper eyelid",0.643347050754458,"342491000119103"
45757721,"Blind left eye, normal vision right eye",36491,103306,4,"53.3%~Blindness left eye category 3, normal vision right eye (H54.42A3)1326579;18006 patients | 
31.5%~Blindness left eye category 5, normal vision right eye (H54.42A5)1326581;12140 patients | 
15.3%~Blindness left eye category 4, normal vision right eye (H54.42A4)1326580;6345 patients | 
NA","Blindness left eye category 3, normal vision right eye | 
Blindness left eye category 5, normal vision right eye | 
Blindness left eye category 4, normal vision right eye | 
Blindness, left eye, normal vision right eye",0.641975308641975,"343041000119106"
37207867,"Cicatricial ectropion of right lower eyelid",37415,102167,1,"100%~Cicatricial ectropion of right lower eyelid (H02.112)45591222;37415 patients","Cicatricial ectropion of right lower eyelid",0.640603566529492,"334251000119104"
36713154,"Abscess of right upper eyelid",49762,80839,1,"100%~Abscess of right upper eyelid (H00.031)45591212;49762 patients","Abscess of right upper eyelid",0.615912208504801,"347641000119105"
45757720,"Blind right eye, low vision left eye",18924,79224,9,"42.7%~Blindness right eye category 3, low vision left eye category 1 (H54.1131)1326549;7425 patients | 
17.7%~Blindness right eye category 5, low vision left eye category 2 (H54.1152)1326556;2310 patients | 
11.7%~Blindness right eye category 5, low vision left eye category 1 (H54.1151)1326555;2501 patients | 
11%~Blindness right eye category 3, low vision left eye category 2 (H54.1132)1326550;2081 patients | 
9.9%~Blindness right eye category 4, low vision left eye category 1 (H54.1141)1326552;2824 patients | 
7%~Blindness right eye category 4, low vision left eye category 2 (H54.1142)1326553;1783 patients | 
NA | 
NA | 
NA","Blindness right eye category 3, low vision left eye category 1 | 
Blindness right eye category 5, low vision left eye category 2 | 
Blindness right eye category 5, low vision left eye category 1 | 
Blindness right eye category 3, low vision left eye category 2 | 
Blindness right eye category 4, low vision left eye category 1 | 
Blindness right eye category 4, low vision left eye category 2 | 
Blindness right eye category 4, low vision left eye | 
Blindness right eye category 3, low vision left eye | 
Blindness right eye category 5, low vision left eye",0.614540466392318,"343031000119102"
