"concept_id_1","concept_id_2","Patient.Count","Event.Count","concept_name.y","concept_name.x"
4092216,45571494,318215,6795936,"Malignant neoplasm of upper lobe, left bronchus or lung","Malignant neoplasm of upper lobe of lung"
4297894,45567633,1599532,6453765,"Trochanteric bursitis, right hip","Greater trochanteric pain syndrome"
4115991,45572427,2523024,6396425,"Effusion, right knee","Knee joint effusion"
372629,37200393,2221822,6200813,"Nonexudative age-related macular degeneration, bilateral, early dry stage","Nonexudative age-related macular degeneration"
4117695,45572552,2869865,6076261,"Pain in left lower leg","Pain in left lower limb"
4115171,45587066,2825694,6027110,"Pain in right lower leg","Pain in right lower limb"
4103749,45562167,2155304,6010960,"Keratoconjunctivitis sicca, not specified as Sjogren's, bilateral","Keratoconjunctivitis sicca (excluding Sjögren syndrome)"
4344500,45587055,1257427,5986501,"Impingement syndrome of left shoulder","Impingement syndrome of shoulder region"
376966,37200405,471394,5933863,"Exudative age-related macular degeneration, right eye, with active choroidal neovascularization","Exudative age-related macular degeneration"
3663197,45552680,1898316,5919026,"Preglaucoma, unspecified, bilateral","Glaucoma suspect"
4115169,45562837,2597054,5882011,"Pain in left arm","Pain in left arm"
316127,45552699,2617969,5857004,"Other vitreous opacities, bilateral","Vitreous opacities"
4297894,45557963,1481342,5840565,"Trochanteric bursitis, left hip","Greater trochanteric pain syndrome"
376966,37200410,463746,5806529,"Exudative age-related macular degeneration, left eye, with active choroidal neovascularization","Exudative age-related macular degeneration"
4115991,45567528,2298529,5754188,"Effusion, left knee","Knee joint effusion"
78505,45586892,2214417,5726885,"Primary osteoarthritis, right ankle and foot","Localized, primary osteoarthritis of the ankle and/or foot"
4115170,45557992,2415802,5654872,"Pain in right arm","Pain in right arm"
35624213,45567018,2446673,5570820,"Other secondary cataract, right eye","Secondary cataract"
35624213,45547846,2418724,5501241,"Other secondary cataract, left eye","Secondary cataract"
72711,45567529,583273,5476656,"Stiffness of right shoulder, not elsewhere classified","Shoulder stiff"
4116166,45601423,2028554,5476397,"Pain in right elbow","Elbow joint pain"
4311499,45600488,494200,5402677,"Malignant neoplasm of unspecified part of right bronchus or lung","Primary malignant neoplasm of respiratory tract"
378424,45576787,2882578,5396235,"Unspecified astigmatism, bilateral","Astigmatism"
379010,45571955,1484264,5390846,"Puckering of macula, bilateral","Epiretinal membrane"
42537748,45595557,213229,5369119,"Acquired absence of right leg below knee","Acquired absence of organ"
37109843,45595557,213229,5369119,"Acquired absence of right leg below knee","Absence of lower limb"
42537748,45537692,213916,5308517,"Acquired absence of left leg below knee","Acquired absence of organ"
37109843,45537692,213916,5308517,"Acquired absence of left leg below knee","Absence of lower limb"
78505,45601354,2076497,5266430,"Primary osteoarthritis, left ankle and foot","Localized, primary osteoarthritis of the ankle and/or foot"
376965,45562228,1692456,5237823,"Hypertensive retinopathy, bilateral","Hypertensive retinopathy"
374375,45533379,3155629,5135104,"Impacted cerumen, right ear","Impacted cerumen"
75911,45596512,1742339,5131284,"Hallux valgus (acquired), right foot","Acquired hallux valgus"
75036,45596495,2062021,5091524,"Primary osteoarthritis, right hand","Localized, primary osteoarthritis of the hand"
372324,45538338,1916413,4979009,"Other specified disorders of Eustachian tube, bilateral","Eustachian tube disorder"
4093672,45557857,551194,4974949,"Stiffness of right knee, not elsewhere classified","Knee stiff"
374367,45567154,2315716,4951113,"Unspecified hearing loss, bilateral","Bilateral hearing loss"
4116166,45553157,1910994,4926476,"Pain in left elbow","Elbow joint pain"
379010,45538268,1384800,4914862,"Puckering of macula, left eye","Epiretinal membrane"
4131963,45543034,1818339,4778092,"Drusen (degenerative) of macula, bilateral","Drusen stage macular degeneration"
379010,45605675,1345895,4772408,"Puckering of macula, right eye","Epiretinal membrane"
375281,45581727,2964059,4757784,"Acute suppurative otitis media without spontaneous rupture of ear drum, right ear","Acute suppurative otitis media without spontaneous rupture of ear drum"
760872,45576933,844979,4745124,"Varicose veins of bilateral lower extremities with other complications","Varicose veins of bilateral lower limbs"
4172970,45533933,861886,4743168,"Complete rotator cuff tear or rupture of right shoulder, not specified as traumatic","Nontraumatic rotator cuff tear"
4172970,45572541,1151494,4684077,"Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic","Nontraumatic rotator cuff tear"
432895,45557376,2228543,4646790,"Cortical age-related cataract, bilateral","Cortical senile cataract"
4181965,45581980,512525,4594327,"Non-pressure chronic ulcer of other part of right foot with fat layer exposed","Chronic ulcer of foot"
4093672,45577231,510147,4566648,"Stiffness of left knee, not elsewhere classified","Knee stiff"
4320944,45596361,1763009,4531720,"Cellulitis of right toe","Cellulitis of toe"
320420,45600927,1915633,4496706,"Vitreous degeneration, right eye","Vitreous degeneration"
75911,45582081,1554608,4493073,"Hallux valgus (acquired), left foot","Acquired hallux valgus"
36684613,45547788,1803429,4476429,"Dermatochalasis of right upper eyelid","Dermatochalasis of right upper eyelid"
760925,37200332,1428756,4447711,"Carpal tunnel syndrome, bilateral upper limbs","Bilateral carpal tunnel syndrome"
605025,45572069,2858130,4416962,"Otalgia, right ear","Otalgia of right ear"
72711,45577229,485797,4405363,"Stiffness of left shoulder, not elsewhere classified","Shoulder stiff"
4157454,45581205,242376,4304636,"Malignant neoplasm of lower lobe, right bronchus or lung","Primary malignant neoplasm of lower lobe, bronchus or lung"
381290,45543044,1195831,4294313,"Ocular hypertension, bilateral","Ocular hypertension"
4181965,45601255,478866,4264550,"Non-pressure chronic ulcer of other part of left foot with fat layer exposed","Chronic ulcer of foot"
4153380,45601048,1210071,4261453,"Occlusion and stenosis of right carotid artery","Disorder of carotid artery"
374375,45533380,2605336,4229768,"Impacted cerumen, left ear","Impacted cerumen"
4320944,45581924,1654219,4201846,"Cellulitis of left toe","Cellulitis of toe"
375281,45600991,2673992,4191070,"Acute suppurative otitis media without spontaneous rupture of ear drum, left ear","Acute suppurative otitis media without spontaneous rupture of ear drum"
4153380,45557556,1183604,4152314,"Occlusion and stenosis of left carotid artery","Disorder of carotid artery"
81151,45550849,1910352,4132053,"Sprain of unspecified ligament of right ankle, initial encounter","Sprain of ankle"
605024,45586557,2658930,4124009,"Otalgia, left ear","Otalgia of left ear"
75036,45557807,1782360,4099344,"Primary osteoarthritis, left hand","Localized, primary osteoarthritis of the hand"
375281,45605739,2320103,4063379,"Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral","Acute suppurative otitis media without spontaneous rupture of ear drum"
320420,45557433,1704406,3971785,"Vitreous degeneration, left eye","Vitreous degeneration"
444211,45543775,1419169,3964003,"Other specified disorders of bone density and structure, left thigh","Disorder of thigh"
75909,45543775,1419169,3964003,"Other specified disorders of bone density and structure, left thigh","Disorder of bone"
36684676,45571861,1623250,3946478,"Dermatochalasis of left upper eyelid","Dermatochalasis of left upper eyelid"
